timestamp,phase,raw_depth,filtered_depth
0.0,IDLE,618.2581,616.0075254656506
1.0,IDLE,442.26642,498.65054438214054
2.0,IDLE,397.59174,411.08315951703963
3.0,IDLE,181.58073,242.71399031372908
4.0,IDLE,899.9694,568.5152479970965
5.0,IDLE,335.90845,472.944080802377
6.0,IDLE,248.88371,371.33656855396646
7.0,IDLE,878.8722,573.6597163528695
8.0,IDLE,990.34454,754.6137691908825
9.0,IDLE,891.07745,839.7032223531724
10.0,IDLE,584.0882,784.5342032381001
11.0,IDLE,236.75276,616.9317329755934
12.0,IDLE,595.60223,604.7363092526197
13.0,IDLE,545.1778,580.1276639121546
14.0,IDLE,681.29224,606.0962779519111
15.0,IDLE,848.19745,681.7257782629999
16.0,IDLE,690.94824,692.2414031970302
17.0,IDLE,815.61115,738.1757213021125
18.0,IDLE,813.8435,772.5267953042834
19.0,IDLE,569.2531,719.6959087790929
20.0,IDLE,471.43002,643.168827867705
21.0,IDLE,538.74133,602.5408201880222
22.0,IDLE,591.1636,588.6337479743756
23.0,IDLE,809.30457,649.426340066565
24.0,IDLE,551.9248,619.1287792745321
25.0,IDLE,635.5151,621.1529521624943
26.0,IDLE,466.54367,570.1073967525728
27.0,IDLE,596.967,571.0548074294512
28.0,IDLE,653.0331,591.6483300220303
29.0,IDLE,344.93604,512.0330572168936
30.0,IDLE,576.6304,521.9766381095105
31.0,IDLE,523.02844,515.8534176048596
32.0,REACH,562.4065,519.1965537900205
33.0,REACH,443.6078,497.6294739947147
34.0,REACH,236.31099,425.07060840305087
35.0,REACH,936.2578,552.4843878705722
36.0,ALIGN,886.31323,764.2230317372489
37.0,ALIGN,824.1419,817.8481965438713
38.0,ALIGN,537.883,720.8589421198641
39.0,ALIGN,687.6613,713.550485411386
40.0,INSERT,297.7429,493.7993419115533
41.0,INSERT,661.50183,549.588376865351
42.0,INSERT,468.4174,505.3134702541816
43.0,INSERT,456.91772,473.53117295905724
44.0,ROTATE,609.91626,513.897958313115
45.0,ROTATE,555.7491,524.9124741058044
46.0,ROTATE,491.22083,510.15213603384734
47.0,ROTATE,442.77066,482.44113258796466
48.0,WITHDRAW,794.838,497.33497822850245
49.0,WITHDRAW,706.1129,514.9381709610506
50.0,WITHDRAW,583.3683,524.9936785974494
51.0,WITHDRAW,430.15042,509.86107861665505
52.0,IDLE,512.33453,509.6924756262573
53.0,IDLE,506.21994,507.7699266668098
54.0,IDLE,703.92004,575.7777603817112
55.0,IDLE,831.08484,672.4830183722647
56.0,IDLE,865.7578,756.2484164317275
57.0,IDLE,888.744,823.7116787743959
58.0,IDLE,618.8714,781.0799473048606
59.0,IDLE,737.1237,779.8860718004042
60.0,IDLE,577.58777,724.1582539557728
61.0,IDLE,462.83054,640.8862354048916
62.0,IDLE,381.09958,548.5766889999543
63.0,IDLE,699.1015,578.4871873768012
64.0,IDLE,576.7404,568.4671102561535
65.0,IDLE,473.60162,530.3425333854434
66.0,IDLE,574.25616,533.8673999403359
67.0,IDLE,472.84836,507.4176199306666
68.0,IDLE,601.39386,528.8706038703706
69.0,IDLE,445.0914,498.84499698679525
70.0,IDLE,260.2859,417.17099329689216
71.0,IDLE,515.6573,434.23390447250796
72.0,IDLE,616.87537,483.85954605517725
73.0,IDLE,353.3342,442.42816901331605
74.0,IDLE,196.49608,359.5345347100557
75.0,IDLE,529.42163,399.88315433949333
76.0,IDLE,597.5064,457.50313448363426
77.0,IDLE,301.72,411.3830460945621
78.0,IDLE,304.47067,374.37862141115073
79.0,IDLE,417.80313,381.45903358267105
80.0,IDLE,549.136,430.5697926683449
81.0,IDLE,887.4953,578.2410930068133
82.0,IDLE,639.972,617.473325171291
83.0,IDLE,571.7469,621.9379206606944
84.0,REACH,482.61865,609.7070351465011
85.0,REACH,593.36505,615.9186431866342
86.0,REACH,936.6812,705.8750965009857
87.0,REACH,560.8931,683.3312296102775
88.0,REACH,400.7098,610.0250215701464
89.0,REACH,331.8056,522.2489298389927
90.0,REACH,826.5349,603.4639439223267
91.0,REACH,680.1648,628.6555835609249
92.0,ALIGN,820.12604,755.9189966923999
93.0,ALIGN,522.1309,652.6990717671163
94.0,ALIGN,895.55585,759.3528254191473
95.0,ALIGN,686.7572,741.8719921799112
96.0,INSERT,662.191,704.0922351365489
97.0,INSERT,681.5709,693.728356875574
98.0,INSERT,610.6282,657.1545027283862
99.0,INSERT,827.19714,720.9411882389419
100.0,ROTATE,1128.8954,883.4921711572251
101.0,ROTATE,893.553,907.9821288441501
102.0,ROTATE,836.6099,899.5109159780923
103.0,ROTATE,637.42566,816.7639768885514
104.0,WITHDRAW,743.2688,812.0929442919867
105.0,WITHDRAW,473.42572,777.7879507551102
106.0,WITHDRAW,356.1064,713.6889557485063
107.0,WITHDRAW,466.24408,653.6083709741883
108.0,IDLE,864.2726,708.7234531500177
109.0,IDLE,453.82693,615.8888046363418
110.0,IDLE,555.4118,579.6982908464671
111.0,IDLE,367.15622,490.77065951474304
112.0,REACH,675.20306,506.47781268048357
113.0,REACH,629.0292,521.2752558167475
114.0,REACH,813.2094,590.9643377771024
115.0,REACH,743.02423,637.209796316817
116.0,ALIGN,841.3857,769.9602631455848
117.0,ALIGN,443.65164,626.5665912987656
118.0,ALIGN,643.7572,631.0101900235605
119.0,ALIGN,501.37692,576.3324049552244
120.0,INSERT,864.0751,724.1575192370138
121.0,INSERT,959.58716,843.6925015657079
122.0,INSERT,462.61945,703.7121469141318
123.0,INSERT,482.2307,614.434172507054
124.0,ROTATE,559.33655,582.9339515755778
125.0,ROTATE,447.3094,520.8143113208973
126.0,ROTATE,399.70062,461.31629028848766
127.0,ROTATE,530.41095,469.0496418074197
128.0,WITHDRAW,704.9743,468.79028385509275
129.0,WITHDRAW,511.24478,460.58558313966887
130.0,WITHDRAW,642.09784,475.8365132875597
131.0,WITHDRAW,427.10995,463.2181846634446
132.0,IDLE,378.9888,430.5686700214123
133.0,IDLE,464.51318,435.2323450778588
134.0,IDLE,788.6355,554.7447162994771
135.0,IDLE,470.09512,537.6811947243737
136.0,IDLE,583.22754,559.9019788444705
137.0,IDLE,341.83688,494.43832163093487
138.0,IDLE,261.55237,415.4030779846527
139.0,IDLE,366.97922,388.6390245537885
140.0,IDLE,876.4241,534.5354645046917
141.0,IDLE,376.23596,492.9204016248806
142.0,IDLE,388.64905,461.3809929481349
143.0,IDLE,240.99666,388.88194941697213
144.0,IDLE,627.515,454.13255116100663
145.0,IDLE,293.7097,403.4732907337528
146.0,IDLE,302.46362,365.587382086277
147.0,IDLE,491.93887,396.83047333844127
148.0,IDLE,707.1882,492.4782820312129
149.0,IDLE,517.44824,509.82638990970105
150.0,IDLE,374.95337,476.01393346844554
151.0,IDLE,644.09155,531.7134485678073
152.0,IDLE,638.30457,573.8832193874099
153.0,IDLE,895.5798,686.9091408691594
154.0,IDLE,625.70874,689.0227314555685
155.0,IDLE,342.8783,595.2293424693851
156.0,IDLE,756.64825,646.7338705533525
157.0,IDLE,708.7185,672.7589262044132
158.0,IDLE,796.53845,719.7018192787741
159.0,IDLE,545.3815,675.6742215936688
160.0,IDLE,775.61395,710.2266313313287
161.0,IDLE,293.01038,584.2708822850008
162.0,IDLE,486.65695,542.8863876900834
163.0,IDLE,574.4189,540.3598912771383
164.0,IDLE,444.97382,500.7572595709451
165.0,IDLE,453.2999,474.2019223716873
166.0,IDLE,345.2635,421.83592777180394
167.0,IDLE,913.29236,562.9273663584805
168.0,IDLE,721.7458,619.4135994818736
169.0,IDLE,532.147,602.9678946014749
170.0,IDLE,604.42773,609.6060099075984
171.0,IDLE,484.2558,575.1711131056717
172.0,IDLE,676.9494,607.1473971763251
173.0,IDLE,461.38068,564.5808028242445
174.0,IDLE,717.93994,610.721733770949
175.0,IDLE,846.66925,689.1766741504501
176.0,IDLE,810.8788,739.749002946608
177.0,IDLE,359.19925,633.9387149303732
178.0,IDLE,424.76053,565.8011305692125
179.0,IDLE,746.4896,613.5785661816644
